Sample ID,Participant ID,Pair ID,Year,Date,Time,Water System,Population,"Source (1 = SW, GW
 = GW, Mix = Mix
)","Disinfectant (1 = Mono, 2 = Chlorine)",Sample Type,"Filter = 1, Softener = 2",Monochloramine,Chlorine,Ammonia,Nitrate,Nitrite,pH,Temperature,Conductivity,Turbidity,TDS,ORP,TOC,THMs,Lead,HPC 1:1 (MPN/100ml),HPC 1:10 (MPN/100ml),HPC 1:100 (MPN/100ml),HPC,LogHPC
200,98,37,2024,5-Apr,10:00 AM,Austin Water,,SW,1,Out,0,1.94,0.07,0.5,1.4,0.084,9.63,22.2,374,0.04,275,,2.873,,,2419.6,478,100,478,2.679427897
134,73,16,2023,15-Nov,10:10 AM,City of Manor,,GW,2,FF,0,0.05,0.77,0.01,0.3,0.001,7.28,21.5,535,0,369,112.4,0.698,14.5,,2419.6,4611,1830,2419.6,3.383743576
135,73,16,2023,15-Nov,10:15 AM,City of Manor,,GW,2,AF,0,0.09,0.71,0.01,0.6,0.001,7.78,24.6,526,0,364,114.9,0.523,21.5,,,,,,
136,73,16,2023,15-Nov,9:35 AM,City of Manor,,GW,2,Out,0,0,0.75,0.01,0.6,0.003,7.68,25.2,528,0.02,360,113.5,0.429,11,,2419.6,3448,300,2419.6,3.383743576
147,73,20,2024,24-Jan,11:14 AM,City of Manor,,GW,2,FF,0,0.05,1.79,0.02,0.2,0.002,7.95,21.5,360.7,0.08,268,85,0.322,,,3.1,10,100,10,1
148,73,20,2024,24-Jan,11:20 AM,City of Manor,,GW,2,AF,0,0.04,1.7,0.06,0.2,0.003,8.27,17.8,357.1,0.1,266,85.1,0.427,,,,,,,
149,73,20,2024,24-Jan,11:34 AM,City of Manor,,GW,2,Out,0,0.06,1.58,0.01,0.3,0.002,8.34,17,358.4,0.11,267,84.2,0.556,,,4.1,10,100,10,1
133,55,0,2023,15-Nov,9:06 AM,Cottonwood Creek MUD1,,GW,2,Out,0,0.08,0.37,0.01,0.5,0.004,7.74,23.5,475,0.008,339,128.7,0.411,5.9,,272.3,345,1320,345,2.537819095
144,55,19,2024,24-Jan,10:41 AM,Cottonwood Creek MUD1,,GW,2,FF,0,0.03,0.01,0.01,0.3,0.002,8.13,16.5,363,0.05,591,85.6,0.36,,,2419.6,24196,241960,241960,5.383743576
145,55,19,2024,24-Jan,10:42 AM,Cottonwood Creek MUD1,,GW,2,FF,1,0.03,0.01,0.01,0.3,0.003,8.18,16.2,21.5,0.03,15,85.1,0.306,,,2419.6,24196,104620,104620,5.019614716
146,55,19,2024,24-Jan,10:12 AM,Cottonwood Creek MUD1,,GW,2,Out,0,0.05,0.36,0.04,0.2,0.005,8.13,14.6,377,0.11,390,84.4,1.059,,,47.1,469,2410,469,2.671172843
66,16,0,2023,24-May,10:24 AM,Goforth,,SW,2,Out,0,0.06,0.42,0.1,1.6,0.18,7.74,22.9,526.3,,,609.4,1.133,,,127.4,359,100,127.4,2.105169428
67,24,0,2023,24-May,11:15 AM,Goforth,,SW,2,Out,1,0.33,0.17,0.1,2.1,0.008,7.5,22.2,582.9,,,591.2,1.231,,,435.2,10,100,100,2
68,36,0,2023,24-May,11:53 AM,Goforth,,SW,2,Out,0,0.04,1.22,0.1,1.5,0.006,7.95,25.1,556.3,,,586.7,1.122,,,24.1,10,100,24.1,1.382017043
69,77,0,2023,24-May,12:30 PM,Goforth,,SW,2,Out,1,0.06,1.09,0.1,1.6,0.007,7.82,24.7,581.1,,,605.6,1.021,,,14.6,10,1000,14.6,1.164352856
83,24,4,2023,31-May,8:30 AM,Goforth,,SW,2,FF,1,0.07,0,0.01,0.3,0.002,10.29,25.9,92.41,0.03,0.26,427,0.866,,,2419.6,14136,1400,2419.6,3.383743576
84,24,4,2023,31-May,8:37 AM,Goforth,,SW,2,AF,1,0.09,1.36,0.01,1.1,0.001,8.23,26.6,560.5,0.05,,655.8,1.111,,,,,,,
85,24,4,2023,31-May,8:16 AM,Goforth,,SW,2,Out,1,0.04,1.32,0.01,1.4,0.004,8.06,24.9,558.4,0.02,,605.8,1.217,,,88.4,175,100,100,2
86,36,0,2023,31-May,9:27 AM,Goforth,,SW,2,Out,0,0.04,1.15,0.01,1,0.007,7.88,25.3,517.2,,,611.5,1.076,,,63.8,41,100,63.8,1.804820679
87,77,5,2023,31-May,10:30 AM,Goforth,,SW,2,FF,1,0.04,0.02,0.01,0.2,0.004,7.76,28.5,2.1,,,497.2,0.911,,0.408,2419.6,24196,155310,155310,5.19119942
88,77,5,2023,31-May,10:24 AM,Goforth,,SW,2,FF,1,0.04,0.01,0.01,0.2,0.006,7.88,25.4,62.4,,,512.5,0.065,,0.408,2419.6,24196,241960,241960,5.383743576
89,77,5,2023,31-May,9:55 AM,Goforth,,SW,2,Out,1,0.08,0.74,0.01,0.5,0.004,7.7,25.4,517.2,,,608.6,1.009,,,7.4,10,100,10,1
90,77,5,2023,31-May,10:54 AM,Goforth,,SW,2,Out,1,0.1,0.9,0.01,0.8,0.005,7.59,33.5,1.5,0.02,,603.3,0.963,,0.408,156.5,97,100,100,2
107,16,0,2023,7-Jun,11:22 AM,Goforth,,SW,2,Out,0,0.05,1.38,0.01,1.3,0.002,7.91,24.5,554.5,0.15,,570,0.817,,,325.5,145,200,200,2.301029996
108,24,0,2023,7-Jun,10:49 AM,Goforth,,SW,2,Out,1,0.14,0.89,0.02,0.2,0.003,7.21,23.9,561.7,0,,588,0.973,,,14.8,10,100,14.8,1.170261715
109,36,10,2023,7-Jun,12:23 PM,Goforth,,SW,2,FF,1,0.13,0.06,0.01,0,0.002,7.1,25.4,168.7,0.65,,453.5,0.085,,0.408,2419.6,8664,4280,4280,3.631443769
110,36,10,2023,7-Jun,12:15 PM,Goforth,,SW,2,Out,0,0.2,0.16,0.01,0.1,0.002,7.58,24.7,716.7,0.06,,415.8,0.415,,,72.2,10,100,72.2,1.858537198
111,77,0,2023,7-Jun,11:51 AM,Goforth,,SW,2,Out,1,0.21,0.76,0.01,0.8,0,7.87,25.5,687.2,0.05,,582.5,1.046,,,178.5,393,740,393,2.59439255
116,16,11,2023,14-Jun,8:22 AM,Goforth,,SW,2,FF,0,0.1,0.98,0.01,1.8,0.004,7.97,26.3,572.8,0.07,,607.4,,,0.408,1986.3,1576,1970,1970,3.294466226
117,16,11,2023,14-Jun,8:26 AM,Goforth,,SW,2,AF,0,0.05,1.38,0.01,1.5,0.005,8,26.2,569.4,0.01,,649.4,,,,920.8,697,750,750,2.875061263
118,16,11,2023,14-Jun,8:05 AM,Goforth,,SW,2,Out,0,0.08,1.51,0.01,2.4,0.001,7.59,24.9,556.2,0.09,,649.6,,,,547.5,259,100,259,2.413299764
119,24,12,2023,14-Jun,9:15 AM,Goforth,,SW,2,FF,1,0.09,1.36,0.01,1.1,0.001,8.23,26.6,560.5,0.05,,655.8,,,,142.1,97,100,100,2
120,24,12,2023,14-Jun,9:10 AM,Goforth,,SW,2,FF,1,0.07,0,0.01,0.3,0.002,10.29,25.9,92.41,0.03,,427,,,,2419.6,9804,6630,6630,3.821513528
121,24,12,2023,14-Jun,8:57 AM,Goforth,,SW,2,Out,1,0.04,1.32,0.01,1.4,0.004,8.06,24.9,558.4,0.02,,605.8,,,,40.2,10,100,40.2,1.604226053
130,36,15,2023,31-Oct,2:08 PM,Goforth,,SW,2,FF,0,0.02,0.69,0.01,0.7,0.002,7.54,21.2,679,0.02,464,114,0.993,83.2,,2419.6,129970,12590,12590,4.10002573
131,36,15,2023,31-Oct,2:13 PM,Goforth,,SW,2,FF,1,0,0.02,0.01,0.4,0.005,7.49,20.8,143,0.06,91.6,115.1,0.549,0,,2419.6,383,310,383,2.583198774
132,36,15,2023,31-Oct,1:52 PM,Goforth,,SW,2,Out,0,0.06,0.98,0.01,0.9,0.003,7.1,21.4,715,0.03,494,113.8,1.039,98.7,,17.1,10,100,17.1,1.23299611
126,2,14,2023,25-Oct,10:05 AM,Manville,,SW,2,FF,2,0.09,0.12,0.03,0.2,0.008,6.87,24.1,743,0.66,503,146.8,1.921,47.5,,2419.6,24196,241960,241960,5.383743576
127,2,14,2023,25-Oct,10:12 AM,Manville,,SW,2,AF,2,0.03,0.05,0.01,0.2,0.001,7.04,25.2,432,0.13,292,146.9,1.042,9.6,,,,,,
128,2,14,2023,25-Oct,10:28 AM,Manville,,SW,2,Out,0,0.05,0.48,0.01,0.9,0.001,7.98,26.4,433,0.42,290,144,1.044,39.9,,550.4,428,1080,550.4,2.740678425
63,22,0,2023,23-May,11:50 AM,SWWC,,GW,2,Out,0,0.13,0.57,0.46,1.7,0.012,7.1,25.9,1165,,,662.6,,,,53.9,341,100,100,2
64,71,0,2023,23-May,11:22 AM,SWWC,,GW,2,Out,2,0.05,0.46,,1.8,0.003,7,26,1248,,,626.6,,,,2419.6,24196,9320,9320,3.969415912
65,76,0,2023,23-May,10:35 AM,SWWC,,GW,2,Out,0,0.05,0.91,0.1,1,0.005,8.12,26.2,409,,,616.8,,,,1,10,100,10,1
80,22,0,2023,30-May,8:59 AM,SWWC,,GW,2,Out,0,0.04,0.25,0.01,2.4,0.003,7.04,24.1,1338,,,576.7,,,,387.7,216,310,310,2.491361694
81,25,0,2023,30-May,9:34 AM,SWWC,,GW,2,Out,2,0.09,0.93,0.01,2.1,0.002,7.17,25.8,1326,,,508.6,,,,1553.1,578,100,578,2.761927838
82,71,0,2023,30-May,8:31 AM,SWWC,,GW,2,Out,2,0.03,0.06,0.01,2.7,0.003,7.06,22.5,1323,,,553,,,,2419.6,2723,980,2419.6,3.383743576
95,22,6,2023,6-Jun,10:05 AM,SWWC,,GW,2,FF,2,0.04,0.95,0.01,1.7,0.007,7.41,24.2,938.3,,,564.6,0.383,,0.408,1,10,100,10,1
96,22,6,2023,6-Jun,10:11 AM,SWWC,,GW,2,AF,2,0.13,1.05,0.01,0.1,0.005,7.46,24.4,924.4,0.27,,549.2,2.034,,,,,,,
97,22,6,2023,6-Jun,10:23 AM,SWWC,,GW,2,Out,0,0.1,0.92,0.01,0.4,0.004,7.22,24.5,982.2,0.3,,553.8,0.792,,,435.2,336,410,410,2.612783857
98,25,7,2023,6-Jun,11:04 AM,SWWC,,GW,2,FF,2,0.04,0.2,0.01,1.4,0.004,7.26,25.7,1294,0.11,,347,0.985,,0.408,547.5,318,410,410,2.612783857
99,25,7,2023,6-Jun,11:10 AM,SWWC,,GW,2,AF,2,0.04,0.12,0.01,1.2,0,7.23,27,1297,0.08,,343.9,0.613,,,,,,,
100,25,7,2023,6-Jun,10:53 AM,SWWC,,GW,2,Out,2,0.04,0.17,0.01,0.2,0.005,7.19,25.2,1293,0.19,,342.2,1.221,,,2419.6,74,200,200,2.301029996
101,71,8,2023,6-Jun,9:10 AM,SWWC,,GW,2,FF,2,0.04,0.04,0.01,1.6,0.004,7.39,23.7,1223,0.05,,545,1.673,,1.01,275.1,185,100,185,2.267171728
102,71,8,2023,6-Jun,9:16 AM,SWWC,,GW,2,AF,2,0.04,0.32,0.01,0.4,0.003,7.38,24.1,1222,0.07,,543,0.931,,,12.1,20,100,20,1.301029996
103,71,8,2023,6-Jun,9:36 AM,SWWC,,GW,2,Out,2,0.05,0.76,0.01,0.7,0.008,7.18,25.6,1228,0.1,,537.2,0.526,,,2419.6,5475,200,2419.6,3.383743576
105,76,9,2023,6-Jun,8:26 AM,SWWC,,GW,2,FF,0,0.04,2,0.01,1.4,0.033,8.39,25.3,414,0.07,,580,0.372,,0.408,1,10,100,10,1
105,76,9,2023,6-Jun,8:32 AM,SWWC,,GW,2,AF,0,0.14,2,0.01,0.4,0.002,8.38,25.5,443.3,0.12,,611.7,0.417,,,1,10,100,10,1
106,76,9,2023,6-Jun,8:06 AM,SWWC,,GW,2,Out,0,0.22,2,0.01,1.4,0.004,8.22,25.2,413.9,0,,625,0.338,,,1,10,100,10,1
